HR,Name,DM,HD,SAO,RAh,RAm,RAs,DE_sign,DEd,DEm,DEs,Vmag,B-V,SpType,Const-Info
1,,BD+44 4550,3,36042,0.0,5.0,9.9,+,45.0,13.0,45.0,6.7,0.07,A1Vn,1V
2,,BD-01 4525,6,128569,0.0,5.0,3.8,-,0.0,30.0,11.0,6.29,1.1,gG9,9
3,33    Psc,BD-06 6357,28,128572,0.0,5.0,20.1,-,5.0,42.0,27.0,4.61,1.04,K0IIIbCN-0.5,0I
4,86    Peg,BD+12 5063,87,91701,0.0,5.0,42.0,+,13.0,23.0,46.0,5.51,0.9,G5III,5I
5,,BD+57 2865,123,21085,0.0,6.0,16.0,+,58.0,26.0,12.0,5.96,0.67,G5V,5V
6,,CD-4914337,142,214963,0.0,6.0,19.0,-,49.0,4.0,30.0,5.7,0.52,G1IV,1I
7,10    Cas,BD+63 2107,144,10978,0.0,6.0,26.5,+,64.0,11.0,46.0,5.59,-0.03,B9III,9I
8,,BD+28 4704,166,73743,0.0,6.0,36.8,+,29.0,1.0,17.0,6.13,0.75,K0V,0V
9,,CD-23    4,203,166053,0.0,6.0,50.1,-,23.0,6.0,27.0,6.18,0.38,A7V,7V
10,,BD-18 6428,256,147090,0.0,7.0,18.2,-,17.0,23.0,11.0,6.19,0.14,A6Vn,6V
11,,BD-03    2,315,128595,0.0,7.0,44.1,-,2.0,32.0,56.0,6.43,-0.14,B8IIIpSi,8I
12,,CD-23   13,319,166066,0.0,7.0,46.8,-,22.0,30.0,32.0,5.94,0.14,A2Vp:,2V
13,,CD-34   17,344,192367,0.0,8.0,3.5,-,33.0,31.0,46.0,5.68,1.12,K1III,1I
14,,BD-03    3,352,128602,0.0,8.0,12.1,-,2.0,26.0,52.0,6.07,1.38,K2III+F,2I
15,21Alp And,BD+28    4,358,73765,0.0,8.0,23.3,+,29.0,5.0,26.0,2.06,-0.11,B8IVpMnHg,8I
16,,BD-09    5,360,128604,0.0,8.0,17.4,-,8.0,49.0,26.0,5.99,1.04,gG8,8
17,,BD+35    8,400,53677,0.0,8.0,41.0,+,36.0,37.0,36.0,6.19,0.48,F8IV,8I
18,,BD-18    3,402,147103,0.0,8.0,33.4,-,17.0,34.0,39.0,6.06,1.67,M0III,0I
19,,BD+24    3,417,73769,0.0,8.0,52.2,+,25.0,27.0,46.0,6.23,0.97,K0III,0I
20,,BD+78    1,431,4048,0.0,9.0,20.2,+,79.0,42.0,53.0,6.01,0.19,A7IV,7I
21,11Bet Cas,BD+58    3,432,21133,0.0,9.0,10.7,+,59.0,8.0,59.0,2.27,0.34,F2III-IV,2I
22,87    Peg,BD+17    7,448,91734,0.0,9.0,2.4,+,18.0,12.0,43.0,5.53,1.04,G9III,9I
23,,CP-54   19,469,231943,0.0,9.0,2.4,-,54.0,0.0,7.0,6.33,0.74,G4IV,4I
24,Kap1Scl,CD-28   16,493,166083,0.0,9.0,21.0,-,27.0,59.0,16.0,5.42,0.42,F2V,2V
25,Eps Phe,CD-46   18,496,214983,0.0,9.0,24.7,-,45.0,44.0,51.0,3.88,1.03,K0III,0I
26,34    Psc,BD+10    8,560,91750,0.0,10.0,2.3,+,11.0,8.0,44.0,5.51,-0.07,B9Vn,9V
27,22    And,BD+45   17,571,36123,0.0,10.0,19.3,+,46.0,4.0,20.0,5.03,0.4,F2II,2I
28,,BD+56   11,584,21162,0.0,10.0,29.7,+,57.0,9.0,56.0,6.74,-0.08,B7IV,7I
29,,BD-06   11,587,128621,0.0,10.0,18.8,-,5.0,14.0,55.0,5.84,0.98,K1III,1I
30,Gam3Oct,CP-82    4,636,258215,0.0,10.0,2.1,-,82.0,13.0,26.0,5.28,1.05,G8III,8I
31,,BD-13   13,645,147127,0.0,10.0,42.8,-,12.0,34.0,48.0,5.85,1.01,K0IV,0I
32,,CP-73    4,661,255642,0.0,10.0,38.6,-,73.0,13.0,28.0,6.64,0.37,F2V+F6V,2V
33,6    Cet,BD-16   17,693,147133,0.0,11.0,15.9,-,15.0,28.0,5.0,4.89,0.49,F7V,7V
34,Kap2Scl,CD-28   26,720,166103,0.0,11.0,34.4,-,27.0,47.0,59.0,5.41,1.34,K5III,5I
35,The Scl,CD-35   42,739,192388,0.0,11.0,44.0,-,35.0,7.0,59.0,5.25,0.44,F4V,4V
36,,BD+47   21,743,36148,0.0,11.0,59.1,+,48.0,9.0,9.0,6.16,1.45,gK4,4
37,,BD-18   14,787,147144,0.0,12.0,10.0,-,17.0,56.0,18.0,5.25,1.48,K5III,5I
38,,BD+36   12,829,53725,0.0,12.0,50.4,+,37.0,41.0,36.0,6.73,-0.13,B2V,2V
39,88Gam Peg,BD+14   14,886,91781,0.0,13.0,14.2,+,15.0,11.0,1.0,2.83,-0.23,B2IV,2I
40,,BD+26   13,895,73823,0.0,13.0,24.0,+,26.0,59.0,14.0,6.3,0.65,G0III,0I
41,23    And,BD+40   29,905,36173,0.0,13.0,30.8,+,41.0,2.0,7.0,5.72,0.31,F0IV,0I
42,,CD-26   56,942,166130,0.0,13.0,42.1,-,26.0,1.0,19.0,5.94,1.55,K5III,5I
43,,CD-26   57,943,166131,0.0,13.0,44.2,-,26.0,17.0,5.0,6.31,1.48,K5III,5I
44,,BD+32   21,952,53744,0.0,14.0,2.3,+,33.0,12.0,22.0,6.25,-0.01,A1V,1V
45,89Chi Peg,BD+19   27,1013,91792,0.0,14.0,36.2,+,20.0,12.0,24.0,4.8,1.57,M2+III,2+
46,,BD-08   26,1014,128655,0.0,14.0,27.6,-,7.0,46.0,50.0,5.12,1.62,M3+III,3+
47,,CP-85    2,1032,258217,0.0,13.0,19.4,-,84.0,59.0,39.0,5.77,1.72,M0-1III,0-
48,7    Cet,BD-19   21,1038,147169,0.0,14.0,38.4,-,18.0,55.0,58.0,4.44,1.66,M3III,3I
